"No.","Pertanyaan","STS (Jumlah Responden x Bobot)","TS (Jumlah Responden x Bobot)","N (Jumlah Responden x Bobot)","S (Jumlah Responden x Bobot)","SS (Jumlah Responden x Bobot)","Total Poin","Persentase (%)"
"1.","Aplikasi dapat dibuka tanpa mengalami force close atau crash.","0 x 0 = 0","1 x 1 = 1","1 x 2 = 2","9 x 3 = 27","4 x 4 = 16","46","76.67"
"2.","Proses registrasi pengguna baru dapat dilakukan dengan mudah dan data berhasil tersimpan.","0 x 0 = 0","1 x 1 = 1","2 x 2 = 4","10 x 3 = 30","2 x 4 = 8","43","71.67"
"3.","Saya dapat login ke aplikasi dengan mudah menggunakan akun yang telah terdaftar.","0 x 0 = 0","0 x 1 = 0","1 x 2 = 2","12 x 3 = 36","2 x 4 = 8","46","76.67"
"4.","Halaman Home menampilkan nama pengguna yang sedang login dengan benar.","0 x 0 = 0","0 x 1 = 0","3 x 2 = 6","12 x 3 = 36","0 x 4 = 0","42","70.00"
"5.","Aplikasi menampilkan daftar pengumuman terbaru dengan akurat di halaman Home.","0 x 0 = 0","0 x 1 = 0","2 x 2 = 4","12 x 3 = 36","1 x 4 = 4","44","73.33"
"6.","Fitur navigasi pada halaman Home berfungsi dengan baik dan memudahkan saya berpindah antar halaman.","0 x 0 = 0","0 x 1 = 0","3 x 2 = 6","11 x 3 = 33","1 x 4 = 4","43","71.67"
"7.","Halaman Pengumuman menampilkan daftar pengumuman secara lengkap dan rapi.","0 x 0 = 0","0 x 1 = 0","1 x 2 = 2","14 x 3 = 42","0 x 4 = 0","44","73.33"
"8.","Saya dapat melihat detail pengumuman secara full screen setelah mengklik tombol ""Selengkapnya"".","0 x 0 = 0","0 x 1 = 0","2 x 2 = 4","12 x 3 = 36","1 x 4 = 4","44","73.33"
"9.","Fungsi unduh logo pada halaman Profil bekerja dengan baik.","0 x 0 = 0","0 x 1 = 0","2 x 2 = 4","13 x 3 = 39","0 x 4 = 0","43","71.67"
"10.","Halaman Struktur Organisasi menampilkan informasi kepengurusan dengan jelas dan akurat.","0 x 0 = 0","0 x 1 = 0","1 x 2 = 2","12 x 3 = 36","2 x 4 = 8","46","76.67"
"11.","Halaman Daftar Anggota menampilkan semua data anggota terdaftar dengan benar.","0 x 0 = 0","0 x 1 = 0","3 x 2 = 6","11 x 3 = 33","1 x 4 = 4","43","71.67"
"12.","Fungsi kontak (telepon, WhatsApp, media sosial, email, website) di halaman Kontak berfungsi dengan baik saat saya mencobanya.","0 x 0 = 0","0 x 1 = 0","4 x 2 = 8","10 x 3 = 30","1 x 4 = 4","42","70.00"
"13.","Saya dapat melihat gambar di Galeri secara full screen dan mengunduhnya ke perangkat saya.","0 x 0 = 0","1 x 1 = 1","2 x 2 = 4","12 x 3 = 36","0 x 4 = 0","41","68.33"
"14.","Halaman Fasilitas menampilkan semua gambar fasilitas dengan benar dan dikelompokkan berdasarkan jenisnya.","0 x 0 = 0","0 x 1 = 0","3 x 2 = 6","11 x 3 = 33","1 x 4 = 4","43","71.67"
"15.","Halaman Fasilitas menampilkan semua gambar fasilitas dengan benar dan dikelompokkan berdasarkan jenisnya.","0 x 0 = 0","0 x 1 = 0","3 x 2 = 6","11 x 3 = 33","1 x 4 = 4","43","71.67"